caseid,follow,compromise,reg,demcand,repcand
610,1,1,1,1,2
611,1,1,1,5,8
612,1,2,2,1,10
613,1,1,1,3,11
614,1,2,1,1,11
615,3,1,1,1,11
616,2,1,1,1,11
617,2,1,1,1,2
618,1,1,1,1,8
619,3,2,2,5,11
620,2,2,1,3,6
621,1,1,3,1,9
622,1,1,1,3,11
623,2,1,1,5,9
624,2,2,1,5,11
625,3,1,2,3,4
626,2,1,1,3,3
627,1,1,1,3,9
628,4,2,2,5,11
629,2,2,1,5,9
630,3,1,1,5,5
631,1,2,1,3,9
632,1,1,1,3,11
633,1,1,1,5,9
634,1,1,1,5,4
635,4,2,2,5,9
636,1,1,1,1,11
637,1,1,2,5,11
638,1,2,1,5,4
639,1,2,1,5,1
640,2,1,1,1,9
641,3,2,3,5,11
642,2,1,1,1,11
643,2,2,1,1,9
644,4,1,1,3,11
645,3,2,1,3,2
646,2,2,1,1,11
647,4,2,2,5,11
648,1,1,1,1,7
649,1,1,1,1,1
650,2,1,1,3,9
651,2,1,1,1,11
652,2,2,1,5,2
653,1,2,1,5,9
654,2,1,1,1,9
655,3,2,2,3,7
656,2,1,1,1,11
657,2,1,1,1,11
658,2,2,1,3,6
659,3,1,2,5,11
660,1,2,1,5,4
661,4,2,1,1,4
662,1,2,1,1,7
663,2,2,1,1,1
664,2,1,1,3,7
665,2,2,1,3,9
666,1,2,1,5,4
667,4,1,1,3,9
668,2,1,1,1,11
669,1,2,1,1,6
670,3,1,1,5,9
671,1,2,1,1,1
672,2,1,1,1,1
673,3,1,1,4,10
674,2,2,1,3,7
675,1,1,1,1,6
676,1,1,1,1,11
677,1,1,1,1,11
678,2,1,1,1,11
679,1,1,2,1,2
680,3,1,1,5,11
681,1,1,1,5,9
682,1,1,1,3,9
683,1,2,1,1,2
684,2,1,1,3,11
685,2,1,2,3,1
686,1,1,1,1,9
687,3,1,2,1,11
688,1,2,1,5,9
689,1,2,1,1,11
690,2,1,1,5,9
691,1,2,1,3,11
692,1,2,1,1,8
693,1,1,1,4,9
694,1,1,1,3,9
695,1,1,2,1,9
696,1,2,1,5,9
697,3,1,1,1,1
698,2,2,1,5,4
699,1,2,1,2,7
700,1,2,1,5,9
701,1,2,1,5,4
702,3,2,1,1,4
703,2,1,2,1,11
704,1,1,1,3,7
705,1,1,1,1,3
706,2,1,1,1,6
707,1,1,1,1,11
708,2,2,2,1,11
709,1,2,1,5,8
710,1,2,1,5,9
711,2,2,1,5,4
712,2,1,1,3,8
713,1,1,1,2,6
714,2,2,1,3,1
715,2,2,2,1,1
716,3,1,1,3,9
717,2,1,1,5,4
718,1,1,1,1,11
719,1,2,1,5,9
720,4,2,1,1,2
721,2,2,1,5,2
722,3,2,1,1,2
723,1,2,1,5,9
724,1,2,1,5,4
725,2,2,1,3,1
726,2,2,1,5,9
727,4,2,2,5,11
728,1,2,1,5,4
729,3,2,2,3,11
730,2,2,1,1,11
731,2,1,1,3,7
732,1,1,1,5,6
733,1,1,1,1,9
734,1,1,1,5,11
735,3,1,2,3,9
736,2,2,1,1,4
737,1,1,1,3,4
738,2,1,1,3,11
739,2,1,1,1,11
740,2,1,1,3,11
741,1,2,1,2,4
742,3,2,1,1,11
743,1,1,1,1,9
744,2,2,1,1,8
745,3,1,2,5,8
746,3,1,2,1,9
747,1,2,1,3,11
748,2,2,1,3,3
749,3,2,1,5,9
750,2,1,1,5,4
751,2,1,1,3,11
752,1,1,1,5,8
753,3,2,2,5,11
754,4,2,1,1,9
755,1,2,1,3,11
756,4,2,1,1,9
757,1,1,1,1,11
758,2,1,3,4,9
759,1,1,1,5,10
760,1,1,1,3,11
761,2,1,1,1,11
762,1,2,1,1,2
763,1,1,1,3,3
764,2,1,2,1,11
765,1,2,1,5,4
766,2,2,1,3,11
767,2,1,2,1,1
768,3,2,1,5,9
769,4,1,2,1,11
770,1,1,1,3,10
771,3,1,1,4,3
772,3,1,1,1,11
773,3,1,1,3,9
774,1,1,1,1,11
775,1,2,1,5,1
776,3,1,1,1,9
777,3,2,1,5,2
778,2,1,1,3,9
779,2,1,1,3,6
780,3,1,2,1,11
781,1,1,1,5,9
782,1,1,1,4,9
783,2,1,1,3,10
784,2,2,1,1,11
785,1,2,1,1,5
786,3,1,1,2,6
787,2,1,1,1,9
788,2,2,1,1,3
789,4,1,1,1,11
790,3,1,1,4,2
791,1,2,1,5,9
792,1,2,1,4,3
793,2,1,1,1,3
794,3,2,1,5,1
795,4,1,1,1,11
796,1,2,1,5,9
797,2,2,1,1,11
798,1,1,1,3,1
799,1,1,1,1,9
800,1,1,1,1,5
801,1,1,1,4,11
802,4,1,2,5,9
803,1,1,1,4,5
804,2,2,1,3,11
805,2,1,1,3,11
806,4,1,2,1,11
807,3,1,1,3,1
808,3,2,2,3,11
809,2,2,1,1,11
810,2,2,1,5,2
811,3,1,2,3,2
812,4,2,1,3,7
813,1,2,1,1,9
814,1,1,1,1,8
815,2,1,1,3,6
816,2,2,1,2,4
817,4,1,2,1,11
818,2,2,1,3,11
819,2,1,1,3,1
820,2,1,1,1,11
821,2,2,1,5,2
822,2,1,1,1,11
823,4,1,2,5,11
824,3,1,2,1,4
825,2,2,1,1,1
826,2,2,1,3,8
827,3,2,1,5,11
828,2,2,1,3,5
829,2,1,1,1,6
830,2,1,1,1,11
831,4,1,2,1,1
832,1,1,1,2,6
833,2,2,2,3,11
834,2,2,1,5,2
835,2,1,1,1,2
836,1,1,1,3,9
837,1,1,1,3,3
838,2,2,1,5,1
839,1,1,2,3,11
840,3,2,1,1,11
841,3,2,2,1,9
842,2,1,1,1,9
843,2,1,2,1,2
844,4,2,1,1,6
845,4,2,1,1,11
846,3,1,3,2,3
847,2,1,3,1,1
848,2,1,1,3,7
849,2,2,2,5,9
850,1,1,1,5,9
851,1,1,1,2,6
852,3,1,1,3,2
853,2,1,1,3,9
854,1,1,1,1,11
855,3,2,3,1,11
856,2,1,2,3,11
857,2,1,1,3,9
858,3,2,1,5,9
859,1,1,1,4,10
860,1,1,1,3,11
861,2,1,1,1,11
862,1,1,1,3,7
863,1,1,2,3,11
864,3,2,1,3,11
865,3,1,1,5,11
866,3,2,2,5,2
867,4,1,2,1,9
868,3,1,1,5,8
869,2,1,1,4,9
870,1,1,1,3,7
871,3,2,2,1,11
872,2,1,2,5,1
873,2,1,1,3,11
874,4,1,1,1,11
875,1,2,1,5,9
876,1,2,1,3,11
877,1,1,1,1,6
878,3,2,1,5,4
879,3,1,1,3,7
880,2,1,1,1,6
881,1,1,1,2,6
882,2,2,1,3,5
883,2,1,1,1,1
884,1,1,1,3,11
885,2,2,1,3,9
886,1,2,1,3,9
887,4,2,2,5,9
888,2,1,1,1,9
889,1,1,1,3,9
890,1,1,1,1,6
891,1,1,1,3,10
892,1,1,1,1,1
893,2,1,1,3,6
894,1,2,1,5,9
895,1,2,1,3,5
896,1,1,1,3,1
897,1,1,1,3,6
898,1,2,1,2,8
899,2,1,1,2,8
900,1,1,1,3,11
901,1,1,1,3,7
902,2,1,1,3,1
903,2,1,1,5,4
904,2,2,1,3,11
905,2,1,2,5,9
906,4,1,2,5,11
907,1,2,1,2,3
908,3,2,2,1,11
909,1,2,1,5,4
910,2,2,2,3,11
911,3,2,2,3,9
912,1,1,1,1,6
913,1,2,1,4,4
914,2,1,1,2,4
915,1,1,1,5,9
916,1,2,1,2,5
917,3,2,1,5,9
918,2,2,1,3,1
919,2,1,1,5,4
920,3,1,2,3,11
921,2,2,1,3,4
922,1,2,1,3,4
923,1,2,1,3,9
924,1,1,1,3,11
925,2,1,3,1,4
926,2,1,1,3,11
927,1,1,1,2,11
928,2,2,1,3,9
929,1,2,1,2,9
930,2,1,1,1,4
931,2,1,1,5,11
932,3,1,3,3,1
933,3,1,1,3,11
934,4,2,1,1,11
935,4,2,2,3,11
936,2,1,1,5,9
937,1,1,1,3,8
938,1,1,1,2,9
939,2,2,2,5,11
940,3,2,1,3,2
941,4,2,1,5,11
942,2,1,1,3,4
943,2,1,2,5,10
944,2,1,1,1,9
945,2,1,1,1,9
946,4,1,1,3,11
947,2,1,1,1,11
948,1,2,3,4,5
949,3,2,1,4,2
950,1,1,1,5,8
951,1,1,1,3,7
952,1,2,1,3,9
953,2,2,1,4,9
954,1,2,1,3,11
955,2,1,1,3,7
956,2,2,2,3,11
957,3,2,1,3,9
958,1,1,1,3,6
959,4,1,2,3,2
960,3,1,1,5,11
961,1,2,1,3,9
962,3,2,3,1,10
963,2,1,1,3,11
964,4,2,2,5,11
965,1,1,1,1,6
966,4,2,3,5,11
967,2,2,1,3,11
968,1,1,1,3,11
969,1,2,1,3,11
970,2,1,1,3,8
971,2,1,1,3,8
972,3,2,2,3,11
973,1,1,1,1,3
974,1,1,1,1,8
975,1,1,1,3,7
976,1,2,1,3,11
977,1,1,1,1,8
978,1,2,1,2,6
979,1,2,1,3,10
980,1,2,1,3,7
981,1,2,1,3,11
982,4,2,2,1,11
983,1,2,1,5,9
984,1,2,1,5,4
985,4,1,2,5,9
986,1,2,1,2,9
987,1,1,1,5,9
988,1,2,1,3,11
989,3,2,1,5,11
990,1,1,3,3,8
991,1,2,1,5,8
992,1,1,1,1,6
993,1,2,1,5,9
994,1,1,1,1,11
995,2,1,1,1,4
996,1,2,1,5,9
997,1,2,1,1,11
998,3,2,2,5,11
999,1,1,1,1,9
1000,1,1,1,1,11
1001,2,2,1,3,1
1002,1,2,1,5,4
1003,2,1,1,3,9
1004,1,2,1,3,9
1005,4,1,2,1,8
1006,3,1,1,3,4
1007,3,2,1,5,6
1008,2,2,1,3,7
1009,1,1,1,1,6
1010,2,1,1,3,1
1011,3,1,1,1,11
1012,3,2,1,5,4
1013,1,1,1,3,11
1014,1,1,1,3,11
1015,2,2,1,3,3
1016,3,2,1,1,1
1017,1,2,1,3,9
1018,2,2,3,1,11
1019,2,2,1,1,2
1020,2,1,1,3,7
1021,2,2,3,3,11
1022,2,2,1,1,11
1023,3,1,1,3,11
1024,2,1,1,3,6
1025,2,2,2,1,4
1026,2,1,1,3,9
1027,2,1,2,1,11
1028,1,1,1,1,9
1029,4,1,2,1,11
1030,1,1,1,3,6
1031,3,1,1,3,11
1032,4,1,2,5,11
1033,3,2,1,2,2
1034,3,1,1,1,4
1035,1,2,1,5,9
1036,1,2,1,2,9
1037,2,1,2,1,1
1038,2,2,1,3,6
1039,3,2,1,4,9
1040,2,2,1,3,11
1041,2,1,1,3,6
1042,1,1,1,1,1
1043,1,1,1,1,4
1044,2,1,1,3,1
1045,1,1,1,1,9
1046,2,1,1,1,7
1047,2,1,2,5,9
1048,2,1,1,5,9
1049,1,1,1,3,10
1050,3,2,1,5,9
1051,1,1,1,3,11
1052,3,1,1,3,11
1053,2,2,1,3,10
1054,4,1,1,3,11
1055,2,1,1,5,1
1056,3,1,1,5,4
1057,1,2,1,3,8
1058,2,2,3,5,9
1059,1,1,2,5,7
1060,3,2,2,3,4
1061,2,1,1,3,4
1062,2,2,1,3,9
1063,4,2,2,5,11
1064,1,2,1,3,9
1065,3,2,1,3,2
1066,3,1,1,3,11
1067,4,1,2,3,1
1068,3,1,1,1,11
1069,2,1,1,3,1
1070,1,1,1,1,2
1071,2,2,1,3,9
1072,4,2,2,5,11
1073,2,2,1,5,2
1074,2,1,1,5,6
1075,1,2,1,5,2
1076,2,2,1,5,9
1077,4,2,1,3,3
1078,3,1,1,3,11
1079,3,2,1,5,9
1080,2,1,2,5,11
1081,2,2,3,1,10
1082,1,1,1,3,3
1083,2,2,1,3,9
1084,2,1,1,3,3
1085,2,1,2,1,9
1086,4,2,2,3,9
1087,1,2,2,3,6
1088,3,1,1,3,11
1089,2,1,1,1,11
1090,2,1,2,1,10
1091,1,1,1,1,9
1092,1,1,2,1,8
1093,2,2,2,1,9
1094,3,1,1,3,11
1095,1,1,1,1,8
1096,1,2,1,3,9
1097,1,1,1,3,9
1098,2,2,1,5,7
1099,3,1,2,1,1
1100,1,1,1,1,9
1101,2,2,2,1,2
1102,1,1,2,5,8
1103,1,1,2,1,11
1104,2,1,1,5,9
1105,1,2,1,4,8
1106,3,2,1,1,2
1107,3,1,1,1,11
1108,2,1,1,5,11
1109,3,2,1,1,11
1110,1,2,2,1,1
1111,3,1,3,2,3
1112,1,2,1,3,4
1113,1,2,1,3,6
1114,1,1,1,1,11
1115,2,1,1,3,11
1116,2,1,3,5,9
1117,1,2,1,5,4
1118,2,2,1,3,1
1119,4,2,2,5,11
1120,3,1,1,3,9
1121,4,2,1,5,11
1122,4,1,2,5,9
1123,1,2,1,5,7
1124,1,1,1,1,11
1125,3,2,3,1,11
1126,1,1,1,3,6
1127,1,1,1,1,6
1128,2,2,1,5,4
1129,2,1,1,3,1
1130,4,1,1,1,11
1131,1,1,1,1,2
1132,4,2,3,4,9
1133,1,2,1,5,9
1134,2,2,1,3,7
1135,1,2,2,1,5
1136,2,1,3,5,11
1137,1,2,1,3,2
1138,1,1,1,5,4
1139,4,2,2,5,11
1140,1,2,1,3,8
1141,1,2,1,5,9
1142,1,1,1,1,6
1143,3,2,1,4,11
1144,3,1,3,5,11
1145,2,1,1,1,11
1146,1,2,1,5,9
1147,3,2,1,5,11
1148,3,2,1,3,11
1149,2,1,1,5,4
1150,1,1,1,1,11
1151,2,2,1,3,9
1152,2,2,1,5,11
1153,1,1,1,3,7
1154,1,1,1,3,8
1155,2,1,1,1,11
1156,1,1,1,1,2
1157,2,2,1,1,9
1158,2,1,3,3,11
1159,1,1,1,5,7
1160,3,2,1,5,11
1161,2,2,1,3,8
1162,1,1,1,5,1
1163,3,1,1,5,1
1164,1,2,1,3,11
1165,3,1,1,3,6
1166,4,2,2,3,11
1167,4,2,1,3,2
1168,1,2,1,2,6
1169,1,1,1,1,11
1170,2,2,1,1,9
1171,2,1,1,3,7
1172,1,1,1,2,1
1173,3,1,1,1,4
1174,1,2,1,5,11
1175,1,2,1,3,11
1176,1,2,1,1,11
1177,2,2,1,4,9
1178,3,1,2,1,1
1179,1,1,2,1,1
1180,2,2,3,1,1
1181,3,2,2,5,11
1182,3,1,2,1,11
1183,3,1,1,1,3
1184,1,2,1,5,4
1185,1,1,1,3,11
1186,2,1,1,1,10
1187,1,2,1,3,3
1188,3,1,1,3,9
1189,1,2,1,2,9
1190,3,1,1,3,11
1191,2,1,1,3,11
1192,2,1,1,5,11
1193,2,2,1,3,10
1194,1,1,1,1,3
1195,3,2,2,3,2
1196,2,2,1,1,2
1197,3,2,1,1,4
1198,1,1,1,3,11
1199,2,2,2,1,4
1200,3,2,1,5,11
